(234,144)
(234,162)
(234,133)
(234,167)
(234,25)
(234,13)
(234,46)
(234,14)
(234,174)
(235,2)
(235,230)
(235,104)
(235,40)
(235,24)
(235,11)
(235,27)
(235,12)
(235,77)
(236,160)
(236,178)
(236,36)
(236,228)
(236,52)
(236,187)
(236,61)
(236,14)
(236,142)
(236,47)
(237,48)
(237,226)
(237,147)
(237,36)
(237,69)
(237,119)
(237,232)
(237,9)
(237,45)
(237,206)
(238,0)
(238,67)
(238,37)
(238,149)
(238,182)
(238,72)
(238,88)
(238,169)
(238,107)
(238,44)
(239,1)
(239,36)
(239,167)
(239,57)
(239,25)
(239,11)
(239,203)
(239,44)
(239,238)
(240,146)
(240,67)
(240,152)
(240,232)
(240,72)
(240,233)
(240,153)
(240,154)
(240,171)
(241,17)
(241,99)
(241,35)
(241,22)
(241,56)
(241,41)
(241,187)
(241,59)
(241,188)
(241,111)
(242,177)
(242,2)
(242,179)
(242,23)
(242,7)
(242,184)
(242,13)
(242,77)
(242,125)
(242,30)
(243,0)
(243,17)
(243,226)
(243,3)
(243,84)
(243,26)
(243,15)
(243,127)
(243,223)
(244,146)
(244,84)
(244,148)
(244,166)
(244,153)
(244,43)
(244,156)
(244,28)
(244,46)
(244,47)
(245,16)
(245,2)
(245,3)
(245,54)
(245,119)
(245,40)
(245,45)
(245,190)
(245,191)
(246,48)
(246,65)
(246,145)
(246,82)
(246,3)
(246,148)
(246,21)
(246,40)
(246,25)
(247,195)
(247,22)
(247,102)
(247,10)
(247,11)
(247,14)
(247,15)
(247,63)
(247,223)
(248,192)
(248,1)
(248,35)
(248,4)
(248,69)
(248,134)
(248,119)
(248,40)
(248,137)
(248,29)
(249,177)
(249,97)
(249,81)
(249,37)
(249,71)
(249,167)
(249,75)
(249,43)
(249,14)
(250,49)
(250,99)
(250,165)
(250,118)
(250,22)
(250,151)
(250,57)
(250,59)
(250,12)
(250,14)
(251,17)
(251,20)
(251,132)
(251,212)
(251,102)
(251,24)
(251,42)
(251,93)
(251,14)
(252,16)
(252,81)
(252,146)
(252,242)
(252,52)
(252,37)
(252,38)
(252,10)
(252,14)
(253,82)
(253,18)
(253,4)
(253,118)
(253,136)
(253,25)
(253,42)
(253,173)
(253,14)
(253,190)
(254,32)
(254,65)
(254,97)
(254,69)
(254,56)
(254,40)
(254,185)
(254,25)
(254,29)
(255,34)
(255,195)
(255,22)
(255,56)
(255,248)
(255,27)
(255,236)
(255,30)
(255,222)
(256,225)
(256,97)
(256,180)
(256,6)
(256,249)
(256,26)
(256,11)
(256,59)
(256,14)
(256,255)
(257,64)
(257,113)
(257,210)
(257,244)
(257,56)
(257,40)
(257,154)
(257,203)
(257,158)
(257,15)
(258,209)
(258,69)
(258,117)
(258,103)
(258,122)
(258,27)
(258,28)
(258,15)
(258,47)
(259,129)
(259,84)
(259,52)
(259,21)
(259,182)
(259,136)
(259,74)
(259,27)
(259,13)
(259,14)
(260,49)
(260,17)
(260,69)
(260,53)
(260,6)
(260,151)
(260,9)
(260,11)
(260,45)
(260,14)
(261,144)
(261,33)
(261,67)
(261,24)
(261,234)
(261,11)
(261,92)
(261,124)
(261,15)
(262,32)
(262,1)
(262,2)
(262,52)
(262,85)
(262,233)
(262,57)
(262,28)
(262,44)
(262,29)
(263,208)
(263,146)
(263,69)
(263,37)
(263,137)
(263,41)
(263,170)
(263,251)
(263,157)
(263,142)
(264,145)
(264,97)
(264,52)
(264,228)
(264,22)
(264,122)
(264,26)
(264,11)
(264,29)
(264,30)
(265,161)
(265,97)
(265,116)
(265,5)
(265,231)
(265,215)
(265,56)
(265,138)
(265,28)
(265,62)
(266,17)
(266,195)
(266,163)
(266,148)
(266,183)
(266,40)
(266,92)
(266,29)
(266,45)
(266,111)
(267,1)
(267,67)
(267,88)
(267,40)
(267,153)
(267,122)
(267,187)
(267,235)
(267,109)
(267,78)
(268,32)
(268,178)
(268,194)
(268,69)
(268,118)
(268,9)
(268,233)
(268,12)
(268,221)
(268,142)
(269,16)
(269,1)
(269,227)
(269,4)
(269,6)
(269,151)
(269,217)
(269,249)
(269,58)
(269,207)
(270,81)
(270,49)
(270,82)
(270,84)
(270,132)
(270,133)
